epoch,train_loss,train_acc,val_loss,val_acc
1,0.6500622469568835,0.654304973245929,0.4159857204541023,0.8114155991568023
2,0.359765378495374,0.8344722151444257,0.3275748413307061,0.8671963677639046
3,0.29050618846545,0.8719742419679878,0.3426253291840998,0.8696286687206097
4,0.2589885066144331,0.8882351578606009,0.311522472881437,0.8819523269012486
5,0.2350986754565205,0.8989831136642653,0.3243538759108343,0.8860061618290903
6,0.2191878535185925,0.908294920201061,0.3103887774243256,0.8897356899627047
7,0.2040534536939124,0.916633851428042,0.3550865946463044,0.8898978433598184
8,0.1922820551737055,0.923467142294596,0.3880887102779638,0.8913572239338414
7,0.1909545005698388,0.9215908827685252,0.3518141724092046,0.8886006161829091
8,0.1940478983722701,0.9206180074587108,0.3690989617200404,0.8817901735041349
9,0.1875822858114752,0.9249032915614648,0.399511735596805,0.8915193773309551
10,0.177192851996766,0.9305552338375298,0.4030297005578026,0.8941138316847738
11,0.175690818179113,0.9342845891918186,0.4239372364945053,0.882763093886817
12,0.1608822716689189,0.9402144958421162,0.4402819944285049,0.8937895248905464
7,0.18947891508397813,0.9220773204234324,0.3411211284755734,0.8889249229771363
8,0.19304986689246642,0.9220541567255797,0.3446529737138069,0.8826009404897033
