epoch,train_loss,train_acc,val_loss,val_acc
1,0.8258557883328546,0.5519214287368835,1.1103783537441654,0.5025133776552618
2,0.5137883585725689,0.7520094507887239,0.5771872780820894,0.8084968380087563
3,0.4026957634799852,0.8316694077042459,0.5880356898528902,0.8524404086265607
4,0.3646112830716856,0.8573579486229181,0.46524271931397776,0.8671963677639046
5,0.3444155084329202,0.8701443098376225,0.4471863794458206,0.8800064861358845
6,0.3346897982625535,0.8828148525630631,0.4771163671165125,0.8788714123560889
7,0.32713407966656355,0.8909221468115169,0.525024986568592,0.887141235608886
8,0.31696718713078476,0.8957170322670311,0.567366706200147,0.8809794065185665
9,0.31238651700553927,0.9035463621412523,0.534212706269921,0.8804929463272255
10,0.3038419297822469,0.9061638599986102,0.4470244448936403,0.8874655424031134
11,0.2941898037095368,0.9134835885200714,0.5261471321958512,0.8874655424031134
12,0.2858739715293519,0.9190197123068726,0.6167396445953119,0.8902221501540457
13,0.27999614498686554,0.9224711032869287,0.6025002735984619,0.8924922977136371
14,0.2785590782721712,0.9253897292163721,0.667837465300325,0.889573536565591
15,0.2695213426889847,0.9293738852470408,0.6676488709666231,0.8882763093886817
16,0.26574471198493116,0.9321766926872206,0.6371281308770643,0.8894113831684773
