epoch,train_loss,train_acc,val_loss,val_acc
1,0.7868703196957713,0.5768224039285632,0.5713289332204532,0.735041349116264
2,0.4461689346054829,0.7918278473975585,0.3694151112607106,0.8320090805902384
3,0.3448353671572658,0.8461235551643465,0.3256760620237014,0.8564942435544025
4,0.30117365006921953,0.8679900859373191,0.3150602822708342,0.871898816280201
5,0.28104347329298274,0.8775103657547891,0.29996164446127227,0.8736825036484515
6,0.2653416578797503,0.8840193648514049,0.2924284413070876,0.8800064861358845
7,0.25349900240051654,0.8898797804081443,0.30784591094354274,0.8851953948435219
8,0.24149146162149632,0.8966204164832874,0.30750431487134083,0.8804929463272255
9,0.23503973841941156,0.9002339533483126,0.2921751399230154,0.8813037133127939
10,0.2270864053964394,0.9045424011489194,0.2987763471129336,0.8851953948435219
11,0.21912078349600903,0.9066039702578119,0.3206261012490858,0.8882763093886817
12,0.2145710844200114,0.9116073289940007,0.3312918708075822,0.882763093886817
13,0.20740253380843118,0.9130434782608695,0.3256307483645918,0.889573536565591
14,0.2040235574507141,0.9156146487225221,0.3386727870668772,0.8829252472839306
15,0.19964320032066132,0.9180468369970582,0.3321604336481638,0.8834117074752716
