epoch,train_loss,train_acc,val_loss,val_acc
1,0.6587899001870786,0.655231521160038,0.4485620207737147,0.7921193449002757
2,0.3806683719489432,0.8306965323944314,0.37434171225122836,0.8556834765688341
3,0.31043278906810456,0.8669940469296519,0.3192247691626994,0.8678449813523593
4,0.2857957156847786,0.8791086609066271,0.3168126195862194,0.8740068104426788
5,0.265590319079397,0.8887447592133608,0.38883999470679254,0.8590886979082212
6,0.24883282802399992,0.8949294665400385,0.34978416535057555,0.8829252472839306
7,0.23393169297481653,0.901623775219476,0.3368137056307163,0.887141235608886
8,0.22436389075775043,0.9081559380139446,0.3518563256130935,0.8869790822117724
9,0.21518198691071094,0.9127423501887841,0.3599487867187033,0.8782227987676342
10,0.20472988017143565,0.9182553102777328,0.39324070001744854,0.885681855034863
